,title,rating,pros,cons
3508,"""Senior Project Analyst""",4.0,"Community Involvement
Great manager
Flexible Schedule and Work Environment (ability to work at home)",Pay is low based on other companies in the area.
3509,"""Citibank""",3.0,Laid back work. Good benefits. Matching 401 K,No scope for growth. Internal politics plays spoil-sports. Poor pay structure
3510,"""Vice President""",3.0,Great opportunities to grow within if you have initiative.,Disconnected Sr. Management with no accountability. Appearing dysfunctional at times.
3511,"""Job ended here (twice)""",3.0,Benefits start day 1. Gym on location. Good pay with incentive structure. Full cafeteria on location with many different choices. Fun atmosphere with co-workers and my managers were cool. There were more positives than negatives here for me.,"The C in Citi really stands for change as something is always changing. This actually is also a good thing as it keeps the company abreast with the industry, however from an employee standpoint it always felt that as soon as we got one thing going well, they would change the process. Also I worked for Citi auto and Citi mortgage, both jobs ended after 3 years. There was a package paid but I'm not unemployed again."
3512,"""Home owner support specialist""",3.0,"great benefits, paid time off, you need the time off.","the higher ups have no idea what we do in our position, always making random changes"
3513,"""Senior Business Consultant""",3.0,Interesting projects and assignments. Attracts intelligent people.,Internal politics can be stifling.
3514,"""Not bad""",4.0,The Work life balance is not bad in Citi and  the organization structure is good.,The culture is a bit rigid and uptight and the company needs to put more focus on employee compensation .
3515,"""Too Big""",3.0,"Great Benefits, pay in line with industry salaries. Many opportunities for promotion and to switch business areas.","Too much bureaucracy. Lack of communication between business units and working groups, where the same project may be done by 3 or 4 separate groups without their knowledge."
3516,"""Good place""",3.0,"Chance to work for the best businesses on the street 
Never a dull moment 
Business is very invested in technology","Very poor compensation 
Poor mgmt and no good mentoring 
Old technology stack
Micro management 
Cannot seem to retain good talent"
3517,"""TELLER""",3.0,"Great company to grow with, 401k, good pensions, good vacation days, friendly staff, pay if higher than other banks.","Work hours from 10-5, not busy bank, pay could be better, a lot of sales opportunity, force to sell everyday."
3518,"""long hours""",3.0,people are friendly and relatively easy to deal with,"no work life balance, long hours. poor structure"
3519,"""Capacity Control""",4.0,"Great benefits, people, and experience.","Pay, advancement, layoffs and downsizing"
3520,"""Citigroup""",4.0,"Established company, well organized, knowledgeable colleagues, opportunity for involvement in cutting edge initiatives, ability to work remotely, not a great work/life balance. Standard benefits package.","Horrible bonus compensation, little advancement opportunity, outsourcing and offshoring of many roles to other countries/ associated risk of layoffs."
3521,"""Senior Vice President""",4.0,People are generally pleasant and enthusiastic. Work-life balance is highly catered to and many people are either full time telecommuters or work from home multiple days per week.,Currently undergoing budget cuts and expense tightening resulting in layoffs.
3522,"""Associate""",5.0,"Stable, very friendly environment to work",less aggressive environment to work
3523,"""Good place to work""",4.0,Pay and benefits are satisfactory. Opportunities for bonuses available. Really nice call center and lots of fun perks. Friendly competition between teams for rewards.,Hard to advance. Have to know someone to get in. Sales above service.
3524,"""Good Luck""",3.0,They offer more vacation days than most companies.,Environment is old and lacks creativity . They seem to care little about their employees and their development. A companies employees are an investment and in this case it's one Citi doesn't feel like making.
3525,"""financial associate""",3.0,"great benefits, 401-K profit sharing, there was plenty of opportunities  for advancement.  there is always room for learning in this company if you are willing to learn.","it is a twenty-four hour call center, so the hours are difficult.  there are no holidays or weekends unless they are pre approved.  since it is a call center for the most part, managing calls quickly is very important and stressed."
3526,"""Teller (Part Time)""",3.0,"- Stable
- Good Pay
- Benefits
- Relatively easy","- Manager was a terd
- A little far from home
- Wouldn't work with schedule"
3527,"""AVP""",5.0,"The group I was in issued to have very nice people, great environment.","Overall department is was not well structured, it had quite turn overs over years."
3528,"""They have no idea what we do""",2.0,Salary and benefits are very good.,"Managers of technical writers have no idea what technical writers actually do, or the tools they need."
3529,"""Citi""",1.0,Big bank with lots of things to do,Cold place with internal divisions
3530,"""Teller""",3.0,lol. paid time off is good.,Referrals. KDS surveys. 6 day weeks. Not very flexible
3531,"""Work life""",5.0,Day shifts good schedules sometimes,No work life balance
3532,"""Director""",5.0,Great amount of talented people and opportunities for learning and growth.,A lot of average people and red tape.
3533,"""Will never work here again.""",1.0,The benefits are good but that's it. I have nothing else to say.,"Too stressful, unrealistic collection goals. They have an extremely high turn over. They do not value employees at all. No room for growth and horrible system and they don't pay enough. No job stability. Over worked and under paid."
3534,"""Current employee review""",4.0,"Overall, the work is challenging",The pace of work can be overwhelming
3535,"""Great Place to Begin Your Career""",4.0,You will be part of a large and recognizable brand that will allow you to find your next job easily.,"Similar to most large bulge brackets, as a junior resource you are simply another cog in a very large wheel and easily replaceable."
3536,"""Citi - DevOps""",3.0,"401K and employee purchase programs are great.  Facility amenities are superb, including: Gym, cafe, convenience store,   Company branded gifts given on regular basis.  Volunteer spirit is encouraged.","Each department is different, so feedback should be taken into consideration from the individual groups.  401K matching, while excellent at 6% is not immediate with delayed eligibility and then single payout each year versus weekly payout."
3537,"""Terrible Computer Systems""",3.0,"Diversity, and people you work with are polite even though under paid.",Terrible Computer Systems!! Too slow! Goals are too high now that we are promoting digital. No one comes into branch like they used too. Repetitive clients. Low paid tellers which have work overload.
3538,"""LOSS Mitigation Specialist III""",5.0,Citigroup's pay was competitive with a bonus structure for high standards of goal achieved. Employment was great until they phased out my call center.,Management could have been a little more understanding when goals were not reach because of issues that were beyond an individual's control.
3539,"""Citimortgage Review""",2.0,Solid benefits and compensation plan.,"Constant layoffs, negative work environment, upper managements sole focus seems to be on cutting costs at every turn rather than growing the business."
3540,"""VP Senior Analyst""",4.0,"Great Benefits, Vacation, 401k options",Pay was really low for the responsibility
3541,"""Ok""",4.0,Citi  was ok to work for. I worked there for 4 almost 5 years. Wonderful people to work.with.,They work you really hard. You don't get good pay for the amount of.duties that are piled on without an increase in pay.
3542,"""Good, but needs improvement""",3.0,"Great people and talent.  More relaxed culture than some banks, good work life balance.  Management is very approachable.  Benefits are still good even though they used to be better.","Pay is significantly lower than competitors despite HR repeatedly telling us they pay ""competitively"" keeping turnover high, constant technology projects because they refuse to use vendor software and build their own"
3543,"""No culture""",3.0,Very competitive compensation and reasonable health insurance premiums.,Lack of teamwork and little support from management.
3544,"""Challenging""",2.0,No parking fees in Ft Mill.  Pretty good benefits.  Lots of PTO (if you can get ahead enough to take it).,Not the place to be if you want to come to work and be able to use the tools provided to accomplish the job.  Not enough people locally that can help with the constant changes in policy and procedure.  Tech issues prevent work from being completed.  Hard to to tell if upper management gets it because they don't ask the right questions.  Upper management has been blended in from an hourly rate / micro managed collections center environment to an exempt environment.
3545,"""Director""",4.0,Great Multi-National Company with focus on ethics and execution.,Not the highest paymaster among the multi-national banks/finance companies
3546,"""Vice President""",4.0,"Work hours, vacation days, helpful co-workers","Stressful environment, repetitive work, too much control and not enough innovation"
3547,"""Relentless""",3.0,"Good benefits including medical, dental, vision and tuition assistance programs, stable employment, large company, multiple locations around the world.","As a Unit Manager the amount of work you are required to perform is way more than you are paid to do. Also, the salary in comparison to an equivalent position with competitors in the area is not balanced."
3548,"""Citi""",3.0,"Lots of opportunities within. Flexible schedule with possibilities to work from home - depending on a manager though (some old school managers resist to join the 21st century). 
Decent benefits - premiums aren't that low though. 
Great daycare center onsite - exclusive to employees and very well discounted for employees. 
Citi is highly involved in volunteerism - excellent causes.","One hand doesn't know what the other one is doing. 
People leave and take knowledge with them - new people come in and try to reinvent the wheel. 
Poor leadership - self-serving."
3549,"""Citi Analyst position is the stereotypical no thrills office job""",3.0,"Management is nice.
Co-workers are friendly",the pay is really low and yearly raises are also low
3550,"""Research Associate""",3.0,"Great opportunity to learn the ropes of equity analysis under a relatively stable enterprise / platform. Good opportunity to interact with other teams: sales, trading, etc to learn how the bank ecosystem functions and relates to the buy side. In summary, a good entry point.",Resources are dwindling and pay isn't what it used to be. A lot of senior research analysts solely manage up as a result without regards for developing their juniors.
3551,"""Review""",4.0,"great people, good to work with, gave me a good insight into corporate finance and wealth management as an intern.","sometimes felt as though I wasn't given much work to do, some days were boring, however i was an intern so that may be it"
3552,"""AVP""",5.0,Large stable organization. Always opportunity to learn,Find a mentor who can guide you to your goals
3553,"""Business Analyst""",5.0,"An excellent work environment, man ways to lean and grow and freely move around the corporation, encouragement from managers to reach for the stars and live up to your potential","the banking industry has its flexible moments and there have been many layoffs especially in the default department, however there is the options to move to other departments to continue a working relationship"
3554,"""Underwriter""",3.0,Excellent Training and Tools to help you preform your job effectively.,If you are currently an employee your increased is capped at 5% if you advance to another position.
3555,"""Bankruptcy Specialist""",3.0,"great benefits, plan time, unplanned and holidays. Plus medical insurance.",Pay rate needs to be updated.
3556,"""ICG Technology""",1.0,"Job security, lots of resources, huge company with global impact.","Huge company means it is slow to get anything done. There is a lack of direction/clarity on projects and requirements. Too many stakeholders with their own interests and not much bandwidth to build long term technology infrastructure. Instead, front office teams focus on one off requests and as a result are constantly re-inventing the wheel. Furthermore, the deluge of paperwork/ticketing makes it nearly impossible to accomplish anything."
3557,"""Customer Service Representative for CitiGold""",5.0,"Great starting pay, health insurance, many company discounts, business casual, great work environment and very welcoming. Management is always helpful and there when you need them.",They are no cons to my knowledge.
3558,"""Summer Analyst""",4.0,Great Rotational Program in Sales and Trading. Endless networking opportunities and very steep learning curve.,Some of the managing directors are not fit to be mentors and make the experience more stressful than anything else.
3559,"""Officer""",4.0,"Flexible on the hours since I am a salary employee.  Also, the pay is pretty great considering I did not get a college degree.",the training could be a little bit better.  Most of the time you are flying by the seat of your pants and then you get a mediocre score on your monthly review.
3560,"""It is what you want it to be""",4.0,"Lots of planned time off, flex scheduling if needed for appointments","Micromanagement, subjective management, high turnover"
3561,"""Doing better""",4.0,They value and support diversity.,The pay and the ability to advance.
3562,"""OK""",3.0,"Pay is fine, but you'll work mad hours during month end closes.",Sold my division to SS&C and SS&C is not a very employee friendly company.
3563,"""Hard to network""",3.0,"There are great, talented people here. The culture is not as punishing as at other banks.",It can be hard to connect to people outside your immediate area. Combine this with the fact that line managers doesn't commonly promote their directs' careers and it becomes very hard to grow.
3564,"""Director""",3.0,Comprehensive array of products offered to a diverse group of clients. There are pockets of true brilliance among the bankers.,"Like throughout the financial industry, Citi has had to grapple with the aftermath of the economic downturn and the highly regulated environment it spawned. The firm is too large to develop any sort of a true corporate culture."
3565,"""Great Company""",5.0,"Pay, Benefits, and 401k match",No Cons. I really enjoy working at Citi.
3566,"""sales""",1.0,Everything from say to benefits and people excellany,No growth !!even if you put in the effort the growth goes to those who know someone who knows someone in the higher level
3567,"""About citi""",4.0,"Nice place to work.
Learnt new technologies.",working hours was long in singapore
3568,"""Remote Underwriter""",4.0,"Good pay, work from home","Laid off, changed managers  constantly"
3569,"""Specialist""",4.0,great work environment; great coworkers,some administration work moves forwrd slowly
3570,"""Specialist""",4.0,great work environment; great coworkers,some administration work moves forwrd slowly
3571,"""Director""",4.0,"Good compensation, flexible work schedule, global presence.","very political, there are pockets of great culture at Citi and pockets of not so great. It's a huge company, sometimes it's hard to get things done."
3572,"""Personal Banker""",3.0,A company that you can be proud of. It is brand bank and global. It is a family oriented bank locally and globally.,The only problem is that the management should look at the whole picture of a certain situation before letting good employees go and understands all the factors rather than concentrating in sales.
3573,"""Good opportunity for growth but pockets of legacy behaviors which is detrimental for company""",3.0,"Opportunity to advance, pay decent, ceo and few other senior leaders committed to doing the right thing and has bought into vision.",Some senior managers are still operating under old mentality and manages their org in a silo to rest of company. Compared to other big banks I would say Citi senior managers don't care about their employees and only seek to get the most out of them instead of a two way relationship.
3574,"""System Engineer""",3.0,"-Great co-workers
-Fast paced environment
-Work closely with various IT groups
-Pretty good benefits","-Lots of overnight call outs
-No chance for growth
-Not a great work/life balance
-Plenty of weekend work
-No one takes responsibility for major upgrades"
3575,"""Vice President""",3.0,Exposure with a big organization and process driven,Not much work life balance
3576,"""Good benifits""",4.0,"good 401k matching upto 6% , dollar for dollar, good vacation starts with 17 days, work from home facility","below average health benefits , employee contribution is more when salary increases"
3577,"""This is the best company I ever worked at in my 30 years as an administrative professional!""",5.0,"The bonuses, the celebrations. The management had many promotions to encourage us to perform better at our jobs and we were rewarded handsomely with being taken out to lunch and the Christmas parties were unforgettable. I worked there as a temporary employee in the mailroom for the Bankruptcy department in the summer of 1987 and was hired permanently as a bankruptcy clerk in August of 1988. If the department didn't move to Kansas City MO, I would still be working there.",The pay was not that great and the department moved out of state.
3578,"""Intern""",4.0,"Fast paced, dedicated and supportive colleagues.
Given responsibilities from the start, and recommendations presented were accepted and implemented.
Superiors were concerned about well-being.
High level of collaboration.","Fast pace environment with heavy workload, largely due to last minute deadlines."
3579,"""Personal Banker""",2.0,The headquarters where all training was based out of was awesome. Very nice trainers as well as training program.,"Working out of the branch, training was thrown out the window."
3580,"""Anonymous""",3.0,Good 401K benefit. Standard vacation policy for financial institute.,Micro management. No pension. Expensive health care premium.
3581,"""SVP Technology""",3.0,"Good working environment, state of the are technology, good people.",Salary raises and promotions are not based on merit. Poor health insurance plan.
3582,"""Good learning experience""",4.0,"Great learning experience, good compensation, good junior team members, good location, change to work on the biggest deals in the world, a lot of interaction with senior members, trying to change the program to better fit millenials, global experience","Bad work life balance but they are working hard to improve it which is appreciated, slow HR process if you want to move around."
3583,"""Large company""",3.0,Have the backing for a large company - not as cutthroat as other banks,You tend to get lost because of the size of the company - ambition is not recognized or rewarded well. Little guidance in terms of career development.
3584,"""good spot""",5.0,awesome co to work at,none to say of at this time
3585,"""customer service rep""",5.0,Great enviroment and great Company,non really anything to report negative
3586,"""Customer Service""",1.0,I would not recommend to anyone,Grinding workload and epidemic system failures.  Job is so bad employees come in and apply for voluntary time off with no pay.  So many leave each day that the reps left don't have time to breath.  Customers very angry and frustrated with system failures and broken promises.
3587,"""Branch Manager""",3.0,"Customer service centered, good culture to work in.",No upward career mobility once in Management.
3588,"""I have enjoyed working here.""",3.0,My group was very flexible and knowledgeable. I was able to learn a great deal about the business and I was taught valuable lessons that will carry over into many businesses.,"In my group, there was no room to move up to a better level and paying job. The biggest issue was technology. We were not given the tools we needed to be very successful."
3589,"""Sales""",3.0,Nice benefits and work-life balance,None that I can think of
3590,"""Citi Client Service""",3.0,"Travel for Client facing individuals, Global footprint, many job types to choose from withing same division",Large gap between senior management understanding of front line functions and expectations which can be discouraging
3591,"""svp""",3.0,global platform and intelligent employees,very sales oriented culture and political organization
3592,"""Manager""",2.0,Good People in local group,"Cutthroat management
CEO is slashing company
Experience means nothing, jobs are being moved offshore"
3593,"""Depends on what you are looking for""",2.0,Lots of departments to move around easily to learn new aspects of the industry.  You can even move to new countries for a whole new experience.,Irresponsible managers make petty decisions come bonus time to keep the bonus eligible employees to a minimum.
3594,"""Research""",4.0,"Good firm, fun job, global","Behind the curve vs most other firms in terms of tech and stratgy, alot of turnover"
3595,"""Personal Banker""",4.0,Great company with great benifits,Way to sales pushy and did not mention that in the hiring process
3596,"""Director""",4.0,"Big company with lots of room to do different things
Good work / life balance",Complicated structure and slow decision making
3597,"""SLC""",4.0,"Great companies, very good benefits, great team member to work with. Lots of opportunity to move up. Work not too hard..",Not very transparent. Pay may be lower than expected raise rate. easy to move up but at the same time a  very big company. just as easy to get swallowed up.
3598,"""Mortgage Lending- Corporate Relocation""",4.0,Challenging fast paced job that changed daily. Every file brought new situations and circumstances to figure out to get folks into their new homes in very short time frames.,"No control of the mortgage rates trends that drive the work load, so goes the mortgage industry."
3599,"""Citi is ok""",4.0,Work from home one day a week,limited room for advancement in company
3600,"""Operations Analyst - Fixed Income Prime Broker""",4.0,Access to many different teams within finance,Didn't utilize operations interns well
3601,"""Experience""",3.0,"Travel, learn, training, people, talent","Politics, cheap especially when it comes to its own people"
3602,"""Citi at Buffalo""",3.0,"-There are many career opportunities for Citi since it is a global bank
- Good training and managers","- Long hours
- Salary can be a bit lower compared to other banks in WNY"
3603,"""Poor Corporate Culture""",3.0,"Good compensation and benefits. Large, global presence.","Non-collaborative, non-innovative workplace. Poor corporate culture that is stuck in the 80s."
3604,"""Great company with good benefits, beware layoffs and new departments.""",4.0,"Great benefits and an HR department that looks out for the employee. You'll never feel more secure knowing that you will be taken care of by HR. Great people work here, leading to a fairly relaxed atmosphere.","Unfortunately layoffs come around every so often, be prepared. New departments that come in lack direction and struggle to find pacing and footing. Although these are expected challenges, it sets a bad precedent from the start in a new department."
3605,"""Analyst""",2.0,Good benefits. Plenty of paid time off. Pay is pretty good coming out of college.,"Hours. Virtually no training what so ever, they pretty much just throw you in there and expect you to know what you're doing. Stressful and repetitive work."
3606,"""Business Analyst""",4.0,Smart people who are always pushing the boundry to deliver more. People work together in cross-functional teams and collaborate well.,"Being a corporate setting, it is easy to become complacent after a while. The company needs to push people to be active about their career and make sure everyone is also advancing personally."
3607,"""Bank Teller""",4.0,"It is a good job while going through school, you have to deal with some irritated customers from time to time but you get use to it.",Since they are banking hours it is difficult to have certain hours when you have a specific school schedule.
3608,"""Decent""",3.0,Alright money and hours were good.,Company was not really managed at all.
3609,"""Good company""",5.0,Training program is great.  Benefits are competitive,downsizing happens much to frequently
3610,"""PERSONAL BANKER""",5.0,"Strong banking products, decent payout","terrible internal systems, too much red tape"
3611,"""Analyst""",5.0,Good culture. Great pay. Decent management,Communication concerns. Long hours. Mundane.
3612,"""Administrative Assistant""",2.0,"Great location, nice co-worker","Poor work environment, terrible IT systems"
3613,"""Stay Away.""",1.0,The benefits as with most big companies are solid.  Good 401k matching program and there are a lot of great people that work here.,"The mortgage company has slashed the pay for their long-time employees significantly.  You will be micromanaged to a level that you have never dreamed of.  They are telling new hires ""You can make 100K"", when in reality they want you at 60K and will put numerous stops in place to insure that.  They are dishonest on many levels.  I've never worked at a call center sales environment where they want to limit your pay, but that is reality at Citi.  It is not a level playing field - they route the good calls to specific employees.  The balance of the leads are terrible.  They only provide purchase leads and most of the borrowers aren't qualified.  They are in the process of replacing long time dedicated experienced employees with cheaper college like inexperienced workers.  Mortgage reps at this location are amongst the lowest paid in the industry.  Management know this and refuses to pay a fair wage.  They even hired a 3rd party to come in and analyze the job and they confirmed that the sales reps are overworked and underpaid.  Pure dumpster fire.  Avoid at all costs."
3614,"""Processor""",3.0,Great Benefits time off decent pay.,POLITICS no room for growth in mortgage department.
3615,"""Financial Sales Associate""",3.0,"Competitive Pay, Great Learning Curve","Tough Clients, Discouraging managements if you are not lucky"
3616,"""Management Associate""",3.0,"Good benefits, good work life balance","Consistent re-organization, low moral, risk of getting laid off"
3617,"""Customer service representative""",5.0,Really good incentives and bonus. Great healthcare and they really know how to take care of their people.,Better schedule to meet my needs
3618,"""Manager""",4.0,Flex schedule and learning opportunities,Downsizing is in effect for the Irving location
3619,"""TSR""",3.0,Excellent chance to learn and grow,"Very political, difficult to move up."
3620,"""TSR""",3.0,Excellent chance to learn and grow,"Very political, difficult to move up."
3621,"""Home Loan Officer""",1.0,The branches are always in good locations with a lot of foot traffic and the potential for tremendous business opportunity.,"Citibank treats their customers worse than any bank I have ever worked for over the past 20 years. Their processing is slow, the morale is poor, their software is obsolete, and it is astounding how little they care about their customers and their employees."
3622,"""Branch Manager""",2.0,Competitive pay and benefits. Generous vacation time of 4 weeks.,"Terrible internal systems, company is stuck in the 80's, not allowing to help customers and have to jump through hoops to accomplish the simplest task. Unethical sales practices are visible everywhere, even though company claims to frown upon it, they structure compensation to push bankers and managers in the unethical direction, which is unacceptable. 
Company is solely number focused and do not care how you obtain them, raising the bar every year, and asking you to beat last years figures, by any means possible. Training is absolutely horrible, unorganized and completely useless. Even if you are an experienced manager, you are on your own figuring out the systems, policies etc."
3623,"""Good company""",4.0,Citi promotes diversity. A person who takes pride in their work will have the ability to start at an entry level role and work their way up to the top. If you have a strong work ethic you will be successful and get recognition.,Demanding but rewarding pace. Time management issues.
3624,"""Skip it if you are thinking about working here""",1.0,Leaves a lot to be desired.,Most incompetent management I have seen.  Lots of talk of getting things done but quarter after quarter of low quality results.  Employees aren't provided adequate resources.  Very low collaboration.  Career opportunities next to none.  Low morale.
3625,"""Great place to work""",5.0,Enjoyed working for the company.,No downside to working there.
3626,"""Svp""",5.0,Very good company to work,There are no cons here.
3627,"""Great job""",5.0,Great benefit & you will learn a lot.,"None, keep up the good work."
3628,"""Good compamy""",4.0,Good program and rotation allows one to see different groups before making final decision for associate. Location is a plus thanks to the many restaurants and bars in TriBeCa.,Not as prestigious as other banks. Career trajectory may not be great if stays here. Might be good as a starting point though.
3629,"""middle management""",4.0,"Benefits, pay, plenty of opportunities and warnings before taking action. In certain lines of businesses, the culture is amazing, in others morale is not.",Lack of training and support from upper management. You do end up feeling like just a number to upper management.
3630,"""just ok""",3.0,"nice building, good security, nice people",it really is a man's world
3631,"""Citi""",2.0,Great people wanting to do a good job,Poor senior managers-only looking out for their next promotion
3632,"""Citi""",1.0,"As a first year, I was lucky that one of my VPs didn't believe in unnecessary face time, and was a little more understanding of your life outside of work, as limited as it was.","On the other hand, he tended to have anger bursts/explode at the tiniest sign of you questioning his authority, while one of the associates was more of a passive aggressive type who would smile and pretend everything was okay, but then talk behind your back and sabotage you. I witnessed this with one of the second year analysts who left shortly after I started. I also found that HR really only sees you as another replaceable part to be worked to death and ditched - and then they wonder how come their retention rates are so low. And once you're out, it's as if you never even worked there. After I quit, my administrative assistant failed to submit my expenses before they closed my internal employee account (and he had plenty of time to do so), so then they billed me. Regardless to say, I would never work there again in a million years."
3633,"""Management by Contribed Chaos""",1.0,Co-workers were committed and had an excellent work ethic.,Very little work life balance and there is no cultivation of employee loyalty.
3634,"""Developer""",4.0,"culture, team, salary, working env","enjoy working in citi, only cons, too much process"
3635,"""Good company""",5.0,Good company with good benefits,Lack of communication between deptartments
3636,"""Bad place to work""",1.0,The pay is good and benefits are great. 401K is matched,"They claim to be ""one citi"" in reality unless you are a manager amor anything higher they leave their employees out of the loop and make extreme changes without giving you a heads up. There are too many micro managers that make your life miserable. Even when you voice your opinion they do nothing."
3637,"""solid company""",4.0,"very organized, sometimes to the point of rigidity, but all expectations are very clear. Huge company, lots of opportunity to move around and advance","low pay compared to competitors, a lot of responsibilities per job title"
3638,"""Assistant Vice President""",3.0,The pay is very good,The job doesn't fit my personality
3639,"""Benefits""",3.0,"flex schedule depending on mgmt, 13 week paid maternity, good PTO","very political senior mgmt, ""favorites"" get promoted over performance, curve based performance"
3640,"""Client Service Officer""",2.0,"Ability to build relationships with clients. Good benefits, and time off. There are some very intelligible people here. If you can get a chance to pick their brains you will find out some very valuable information that will take you far.","Micro-managing at times, lack of training, overload of work from assisting other teams due to high turnover. As well as favoritism. Due to high turnover chances for advancement became a joke. Felt trapped on my team because they knew no one else wanted to fill my slot."
3641,"""Vice President""",4.0,"Large institution with ample internal opportunities. Good brand attracting sizable and complex transactions, making jobs challenging and interesting.",The size of the bank easily makes people invisible.
3642,"""Global Supplier Management""",5.0,Expansive opportunities due to size and open culture to move into other areas.  Collaborative environment.,I do not have any negative feedback.
3643,"""new to citi""",1.0,"easy to get hired, job site has alot to offer, bank, gym, cafe and daycare",didnt fully disclose what the job entailed. hard to change working hours and low pay
3644,"""ok as my first job but not good""",2.0,"- big firm
- good opportunity
- you can focus on what you are doing
- as the first job, it is stable","- not paid fairly
- management is not efficient"
3645,"""Credit Operations Specialist 3""",4.0,"Great benefits! Also, they have a phenomenal management team that is very helpful.","A lot of micro-management, so it can get a little stressful at times."
3646,"""Nice People""",4.0,People are nice. The management is very cooperative. I think I am working with some of the best coworkers in the world.,No cons. Just more opportunities to grow would help.
3647,"""Great branding,""",4.0,Good work-life balance. Great branding.,Changes in management is disruptive to the business. High Analyst attrition.
3648,"""Relationship Management Associate""",2.0,"Driven people; outgoing personalities. Colleagues willing to learn from each other. Brand recognition goes far, especially in LatAm region. Many interesting people in the organization.","Office politics and unclear growth path. NOT a meritocracy. Connections more important to advancing career than actual work. Also, too many managers but little management (few people want to take responsibility for important decisions)."
3649,"""Stressful, unrealistic expectations, out of touch management""",2.0,"Benefits from day one, nice work environment, reasonable pay","Managers expectations are often unrealistic, supposingly have a ""set"" way to grade calls but the system is completely subjective based on manager, policies consistially change with little to no notice, managers are write up happy, company is a revolving door"
3650,"""Perfromance Analyst""",4.0,Great company and team environment,Corporate Red Tape takes forever
3651,"""Infrastructure Senior Manager""",4.0,I like the challenges i face in my role and the satisfaction of overcoming them.,Technical organization leadership is poor
3652,"""Company review""",4.0,Great company - lots of opportunity - good career mobility,There are no cons that I can think of
3653,"""Tough Enviornment with declining opportunities""",3.0,"People are  high caliber and generally very supportive
Company Executive Leadership has a strong vision for the future, and solid plan for execution","Constant churn of Managing Directors results in a disjointed execution at the local level
Continuous expense pressures make job stability/security very tenuous"
3654,"""Citi""",3.0,Opportunities to be had,Lack of leadership from management. Company doesn't value it's employees.
3655,"""Management doesn't get it""",1.0,"Peers.  Everyone is in the same boat, so there is a sense of comradery, but unfortunately everyone is too busy to help each other","Management
No long term strategy
Staff is treated like commodities, no individuals
Closing tickets is what matters"
3656,"""Banker""",4.0,"Good benefits, great bonus pay for performance.",Upper management did not care.
3657,"""A good experience""",4.0,Good health benefits and pay was sufficient.,Is not flexible with school schedules. Systems are not as efficient and could be better.
3658,"""Good company to work but senior management don't put too much thought""",3.0,Good work life balance. They offer good salary. People are co-operating.,Things moves slow. Solutions to issues are not thought properly. They find solutions for the short term and again they change and it continues like that.
3659,"""Review""",3.0,"The paid holidays and the company contribution for health, vision, and dental insurance.","laborious work, poor working conditions and environment."
3660,"""Review""",3.0,"The paid holidays and the company contribution for health, vision, and dental insurance.","laborious work, poor working conditions and environment."
3661,"""Lots of Opportunity, but You Will Work for It!""",3.0,"Lots of opportunity for growth
Flexible
Global Company","Poor compensation
Low work/life balance
Limited support
Not enough employee engagement"
3662,"""The availability of on site child care is a great benefit.""",3.0,The availability of on site child care is a great benefit.,Bonus not great but other things make up for it
3663,"""Great company culture!""",4.0,"Great family and work balance.
Great bonuses
Wonderful recognition peogram for too performers(citi stars) not seen anywhere else
Easy systems to work with
No stress for me atleast","I got nothing negative to say other than keep the branches here. People really love this bank and its culture. Stop closing branches and losing valuable customers. You will love woeking here, especially if you have a great manager. Its like a family!"
3664,"""BP & A Senior Manager""",3.0,"Great technical experience, networking opportunities, internal mobility, employee engagement",no respect for work life balance in several departments
3665,"""citi review""",3.0,"no micro-management, flexible ability to work from home","constant reorganization, silo'd off roles"
3666,"""Intern""",3.0,"very nice people, they really want you to succeed. gives you good feedback on the work you are doing","sometimes the jobs that interns need to do are not really specified. you also have a project that you need to choose to work on, but it is really hard to choose the topic"
3667,"""Just don't do it - it is a waste of your time""",1.0,"It was a job and Citi as a company looks good on a resume. (not the caliber it once was)
The benefits are decent.
Some nice and smart co-workers.
Great potential if you are in the right department AND have the right manager. (VERY RARE)
The training was useful but was more theory than what actually occurs.
The Progress Point location was decent and opposite of the CRC.
There are more Citibank positions opening and appears to be a better department.","Way too many to list here. The Mortgage department is in complete disarray and almost all people are only concerned with self preservation. This isn't worth wading through the BS and frustrations unless you are a C13 and above. Then you just act like you are working on projects which will change in 6 months and keep cashing paychecks. Multiple senior management changes and reorgs but no direction. Citi is a shell of what it was 10 years ago and they are only interested to achieve nothing but short term paper savings. They will outsource whatever they can and not care about the results unless large numbers of customers leave. Internal job transfers are a slow process and difficult to move up unless you make a connection. It is true that you are better off quitting and applying externally for the job that you really want in order to move up. 

So many lies and crap procedures that people are only concerned with CYA. You can't trust anything people say in this organization from most managers unless you have it in writing and print it for proof. Be careful if you choose to speak out and expose said lies no matter the importance. Denial is their best friend and they will not appreciate a logical concern with evidence. There is a reason why Citi is continually paying hundreds of millions in ethics related fines every year. Never leave the Progress Point location to go the CRC."
3668,"""Great experience""",4.0,"Fast pace environment, very dedicated team and a lot of team work, no caps on overtime neither commissions, gym, great food selection at the cafeteria, children daycare, a lot of social activities and networking","At mercy of other teams work, definitely not too much to say; I am writing here because the app request at least 20 words"
